vendor_id,vendor_name,category,vendor_since,payment_terms_days,status
V0369,Jupiter Supplies Pvt Ltd,IT Services,2025-04-08,60,Active
V0370,Delta Enterprises Pvt Ltd,IT Services,2019-02-28,30,Active
V0371,Evergreen Enterprises Pvt Ltd,Manufacturing,2019-01-01,15,Active
V0372,Crest Services Pvt Ltd,Logistics,2024-04-01,30,Active
V0373,Apex Services Pvt Ltd,IT Services,2019-10-21,30,Active
V0374,Bluewave Industries Pvt Ltd,Logistics,2022-01-13,15,Active
V0375,Evergreen Components Pvt Ltd,IT Services,2022-02-17,30,Active
V0376,Indus Solutions Pvt Ltd,Manufacturing,2021-01-31,45,Active
V0377,Fusion Solutions Pvt Ltd,Manufacturing,2018-11-18,45,Active
V0378,Delta Solutions Pvt Ltd,IT Services,2022-02-23,45,Active
V0379,Global Services Pvt Ltd,Manufacturing,2020-03-15,15,Active
V0380,Bluewave Components Pvt Ltd,Professional Services,2018-05-29,30,Active
V0381,Delta Logistics Pvt Ltd,Marketing,2021-06-21,15,Active
V0382,Horizon Components Pvt Ltd,Logistics,2024-01-08,45,Active
V0383,Apex Services Pvt Ltd,Professional Services,2021-09-15,30,Active
V0384,Horizon Services Pvt Ltd,Facilities,2021-10-21,60,Active
V0385,Global Systems Pvt Ltd,Office Supplies,2025-10-23,30,Active
V0386,Apex Systems Pvt Ltd,Manufacturing,2020-06-02,60,Active
V0387,Indus Systems Pvt Ltd,Manufacturing,2023-08-16,30,Active
V0388,Apex Systems Pvt Ltd,IT Services,2018-03-26,30,Active
V0389,Indus Services Pvt Ltd,Logistics,2019-11-10,60,Active
V0390,Global Industries Pvt Ltd,IT Services,2022-12-12,45,Active
V0391,Bluewave Enterprises Pvt Ltd,Manufacturing,2024-06-17,30,Active
V0392,Crest Industries Pvt Ltd,Marketing,2019-06-17,15,Active
V0393,Bluewave Logistics Pvt Ltd,Utilities,2021-10-16,45,Active
V0394,Global Services Pvt Ltd,Office Supplies,2018-02-27,30,Active
V0395,Indus Solutions Pvt Ltd,Manufacturing,2022-12-27,15,Active
V0396,Indus Systems Pvt Ltd,Facilities,2025-12-12,60,Active
V0397,Jupiter Logistics Pvt Ltd,Professional Services,2023-07-22,45,Active
V0398,Global Logistics Pvt Ltd,Professional Services,2022-10-21,30,Active
V0399,Horizon Industries Pvt Ltd,Marketing,2022-07-01,60,Active
V0400,Indus Enterprises Pvt Ltd,Manufacturing,2018-11-25,30,Active
V0401,Bluewave Solutions Pvt Ltd,Logistics,2021-09-12,30,Active
V0402,Jupiter Industries Pvt Ltd,Manufacturing,2025-01-31,30,Active
V0403,Horizon Logistics Pvt Ltd,Office Supplies,2025-01-09,45,Active
V0404,Horizon Enterprises Pvt Ltd,Marketing,2023-11-12,60,Active
V0405,Delta Solutions Pvt Ltd,Facilities,2019-10-23,45,Active
V0406,Indus Logistics Pvt Ltd,Facilities,2022-05-09,30,Active
V0407,Crest Enterprises Pvt Ltd,Marketing,2024-01-23,60,Active
V0408,Bluewave Services Pvt Ltd,Facilities,2024-11-22,60,Active
V0409,Delta Systems Pvt Ltd,IT Services,2024-04-02,30,Active
V0410,Horizon Logistics Pvt Ltd,Utilities,2018-04-10,60,Active
V0411,Horizon Components Pvt Ltd,Office Supplies,2019-01-14,15,Active
V0412,Jupiter Logistics Pvt Ltd,Logistics,2024-09-23,15,Active
V0413,Indus Logistics Pvt Ltd,Utilities,2020-04-07,60,Active
V0414,Evergreen Enterprises Pvt Ltd,Manufacturing,2019-05-05,15,Active
V0415,Delta Services Pvt Ltd,Marketing,2022-05-17,30,Active
V0416,Crest Enterprises Pvt Ltd,IT Services,2020-09-20,30,Active
V0417,Horizon Systems Pvt Ltd,Office Supplies,2021-08-31,15,Active
V0418,Horizon Logistics Pvt Ltd,Office Supplies,2018-01-18,30,Active
V0419,Fusion Supplies Pvt Ltd,Utilities,2020-07-17,30,Active
V0420,Indus Solutions Pvt Ltd,Facilities,2021-12-26,30,Active
V0421,Evergreen Components Pvt Ltd,Marketing,2024-09-19,30,Active
V0422,Fusion Components Pvt Ltd,Marketing,2023-10-31,45,Active
V0423,Evergreen Logistics Pvt Ltd,IT Services,2018-06-25,60,Active
V0424,Global Industries Pvt Ltd,Manufacturing,2023-01-29,45,Active
V0425,Fusion Systems Pvt Ltd,Office Supplies,2022-01-14,30,Active
V0426,Bluewave Services Pvt Ltd,Professional Services,2018-02-14,45,Active
V0427,Apex Systems Pvt Ltd,Professional Services,2021-06-19,45,Inactive
V0428,Evergreen Solutions Pvt Ltd,Logistics,2023-03-04,30,Active
V0429,Horizon Solutions Pvt Ltd,Professional Services,2019-08-11,30,Active
V0430,Apex Supplies Pvt Ltd,Professional Services,2023-07-06,30,Active
V0431,Apex Systems Pvt Ltd,Utilities,2018-08-19,15,Active
V0432,Jupiter Services Pvt Ltd,Professional Services,2024-01-06,30,Active
V0433,Indus Components Pvt Ltd,Office Supplies,2024-08-06,45,Active
V0434,Bluewave Industries Pvt Ltd,Utilities,2023-09-04,30,Active
V0435,Jupiter Enterprises Pvt Ltd,Manufacturing,2024-04-17,30,Active
V0436,Indus Logistics Pvt Ltd,Office Supplies,2019-09-15,30,Active
V0437,Indus Solutions Pvt Ltd,Utilities,2021-03-30,60,Active
V0438,Horizon Supplies Pvt Ltd,Office Supplies,2019-07-11,30,Active
V0439,Delta Industries Pvt Ltd,Professional Services,2018-07-24,30,Active
V0440,Global Systems Pvt Ltd,Professional Services,2020-09-29,15,Active
V0441,Jupiter Services Pvt Ltd,Logistics,2020-12-05,60,Active
V0442,Crest Logistics Pvt Ltd,Utilities,2020-11-18,30,Active
V0443,Fusion Logistics Pvt Ltd,Logistics,2018-01-08,30,Active
V0444,Apex Solutions Pvt Ltd,IT Services,2020-01-26,45,Active
V0445,Jupiter Systems Pvt Ltd,IT Services,2020-01-06,45,Active
V0446,Horizon Services Pvt Ltd,Manufacturing,2025-08-11,15,Active
V0447,Indus Systems Pvt Ltd,Office Supplies,2024-07-21,30,Active
V0448,Jupiter Systems Pvt Ltd,IT Services,2023-03-08,30,Active
V0449,Evergreen Logistics Pvt Ltd,IT Services,2020-01-18,30,Active
V0450,Crest Solutions Pvt Ltd,Facilities,2018-11-24,15,Active
V0451,Apex Solutions Pvt Ltd,IT Services,2018-12-17,30,Active
V0452,Indus Components Pvt Ltd,Facilities,2018-01-20,45,Active
V0453,Horizon Systems Pvt Ltd,Utilities,2025-09-10,30,Active
V0454,Evergreen Industries Pvt Ltd,IT Services,2025-03-16,45,Active
V0455,Horizon Systems Pvt Ltd,Utilities,2025-03-26,15,Active
V0456,Indus Services Pvt Ltd,IT Services,2025-11-10,30,Active
V0457,Global Services Pvt Ltd,Logistics,2024-06-18,30,Active
V0458,Bluewave Enterprises Pvt Ltd,Logistics,2020-05-19,30,Active
V0459,Horizon Components Pvt Ltd,Office Supplies,2020-03-15,60,Active
V0460,Crest Services Pvt Ltd,Logistics,2021-04-01,30,Active
V0461,Bluewave Systems Pvt Ltd,Office Supplies,2024-07-17,30,Active
V0462,Apex Solutions Pvt Ltd,Marketing,2024-08-25,30,Active
V0463,Jupiter Services Pvt Ltd,IT Services,2022-11-13,15,Active
V0464,Bluewave Components Pvt Ltd,Office Supplies,2023-01-20,60,Active
V0465,Evergreen Solutions Pvt Ltd,Manufacturing,2023-03-16,30,Active
V0466,Horizon Services Pvt Ltd,Facilities,2019-06-28,30,Active
V0467,Apex Logistics Pvt Ltd,Logistics,2018-12-29,30,Inactive
V0468,Horizon Supplies Pvt Ltd,Marketing,2018-11-27,45,Active
V0469,Horizon Industries Pvt Ltd,Logistics,2020-03-12,60,Active
V0470,Crest Components Pvt Ltd,Facilities,2022-05-21,15,Active
V0471,Indus Services Pvt Ltd,Professional Services,2019-02-06,15,Active
V0472,Crest Systems Pvt Ltd,Professional Services,2023-05-13,45,Active
V0473,Indus Logistics Pvt Ltd,Professional Services,2024-02-14,45,Active
V0474,Apex Logistics Pvt Ltd,Office Supplies,2022-11-21,30,Active
V0475,Bluewave Systems Pvt Ltd,Professional Services,2021-05-01,60,Active
V0476,Delta Logistics Pvt Ltd,Professional Services,2023-05-03,60,Active
V0477,Apex Industries Pvt Ltd,Manufacturing,2018-02-13,30,Active
V0478,Global Systems Pvt Ltd,Utilities,2019-06-27,15,Active
V0479,Crest Components Pvt Ltd,Facilities,2021-08-16,30,Active
V0480,Jupiter Enterprises Pvt Ltd,Office Supplies,2019-09-07,45,Active
V0481,Delta Supplies Pvt Ltd,Utilities,2021-08-28,45,Active
V0482,Indus Enterprises Pvt Ltd,IT Services,2018-01-18,60,Active
V0483,Apex Enterprises Pvt Ltd,Logistics,2018-06-07,30,Active
V0484,Indus Components Pvt Ltd,Marketing,2019-07-16,30,Active
V0485,Global Components Pvt Ltd,Office Supplies,2023-02-25,15,Active
V0486,Indus Services Pvt Ltd,Marketing,2018-09-08,30,Active
V0487,Jupiter Systems Pvt Ltd,Logistics,2020-05-18,30,Active
V0488,Evergreen Industries Pvt Ltd,Professional Services,2022-07-14,15,Active
V0489,Apex Logistics Pvt Ltd,Office Supplies,2021-05-04,60,Active
V0490,Bluewave Solutions Pvt Ltd,Utilities,2024-08-25,15,Active
V0491,Apex Logistics Pvt Ltd,Professional Services,2021-11-02,30,Active
V0492,Evergreen Components Pvt Ltd,Utilities,2023-04-23,60,Active
V0493,Evergreen Logistics Pvt Ltd,IT Services,2023-05-23,60,Active
V0494,Global Industries Pvt Ltd,Office Supplies,2024-03-08,15,Inactive
V0495,Indus Enterprises Pvt Ltd,Utilities,2021-09-03,30,Active
V0496,Jupiter Logistics Pvt Ltd,Marketing,2023-02-15,30,Active
V0497,Horizon Services Pvt Ltd,Logistics,2023-01-08,30,Active
V0498,Apex Industries Pvt Ltd,Manufacturing,2022-08-10,45,Active
V0499,Crest Supplies Pvt Ltd,IT Services,2021-12-16,15,Active
V0500,Apex Logistics Pvt Ltd,Utilities,2025-12-19,45,Active
